Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,170.160004,172.300003,169.259995,172.259995,170.901505,25555900
2018-01-03,172.529999,174.550003,171.960007,172.229996,170.871735,29517900
2018-01-04,172.539993,173.470001,172.080002,173.029999,171.665436,22434600
2018-01-05,173.440002,175.369995,173.050003,175.000000,173.619904,23660000
2018-01-08,174.350006,175.610001,173.929993,174.350006,172.975037,20567800
2018-01-09,174.550003,175.059998,173.410004,174.330002,172.955200,21584000
2018-01-10,173.160004,174.300003,173.000000,174.289993,172.915497,23959900
2018-01-11,174.589996,175.490005,174.490005,175.279999,173.897705,18667700
2018-01-12,176.179993,177.360001,175.649994,177.089996,175.693420,25418100
2018-01-16,177.899994,179.389999,176.139999,176.190002,174.800537,29565900
2018-01-17,176.149994,179.250000,175.070007,179.100006,177.687576,33888500
2018-01-18,179.369995,180.100006,178.250000,179.259995,177.846313,31193400
2018-01-19,178.610001,179.580002,177.410004,178.460007,177.052628,32425100
2018-01-22,177.300003,177.779999,176.600006,177.000000,175.604141,27108600
2018-01-23,177.300003,179.440002,176.820007,177.039993,175.643814,32689100
2018-01-24,177.250000,177.300003,173.199997,174.220001,172.846054,51105100
2018-01-25,174.509995,174.949997,170.529999,171.110001,169.760574,41529000
2018-01-26,172.000000,172.000000,170.059998,171.509995,170.157425,39143000
2018-01-29,170.160004,170.160004,167.070007,167.960007,166.635422,50640400
2018-01-30,165.529999,167.369995,164.699997,166.970001,165.653244,46048200
2018-01-31,166.869995,168.440002,166.500000,167.429993,166.109604,32478900
2018-02-01,167.169998,168.619995,166.759995,167.779999,166.456848,47230800
2018-02-02,166.000000,166.800003,160.100006,160.500000,159.234253,86593800
2018-02-05,159.100006,163.880005,156.000000,156.490005,155.255890,72738500
2018-02-06,154.830002,163.720001,154.000000,163.029999,161.744293,68243800
2018-02-07,163.089996,163.399994,159.070007,159.539993,158.281815,51608600
2018-02-08,160.289993,161.000000,155.029999,155.149994,153.926437,54390500
2018-02-09,157.070007,157.889999,150.240005,156.410004,155.809189,70672600
2018-02-12,158.500000,163.889999,157.509995,162.710007,162.084991,60819500
2018-02-13,161.949997,164.750000,161.649994,164.339996,163.708725,32549200
2018-02-14,163.039993,167.539993,162.880005,167.369995,166.727081,40644900
2018-02-15,169.789993,173.089996,169.000000,172.990005,172.325500,51147200
2018-02-16,172.360001,174.820007,171.770004,172.429993,171.767639,40176100
2018-02-20,172.050003,174.259995,171.419998,171.850006,171.189880,33930500
2018-02-21,172.830002,174.119995,171.009995,171.070007,170.412872,37471600
2018-02-22,171.800003,173.949997,171.710007,172.500000,171.837372,30991900
2018-02-23,173.669998,175.649994,173.539993,175.500000,174.825851,33812400
2018-02-26,176.350006,179.389999,176.210007,178.970001,178.282532,38162200
2018-02-27,179.100006,180.479996,178.160004,178.389999,177.704758,38928100
2018-02-28,179.259995,180.619995,178.050003,178.119995,177.435791,37782100
2018-03-01,178.539993,179.779999,172.660004,175.000000,174.327774,48802000
2018-03-02,172.800003,176.300003,172.449997,176.210007,175.533142,38454000
2018-03-05,175.210007,177.740005,174.520004,176.820007,176.140793,28401400
2018-03-06,177.910004,178.250000,176.130005,176.669998,175.991364,23788500
2018-03-07,174.940002,175.850006,174.270004,175.029999,174.357666,31703500
2018-03-08,175.479996,177.119995,175.070007,176.940002,176.260330,23774100
2018-03-09,177.960007,180.000000,177.389999,179.979996,179.288635,32185200
2018-03-12,180.289993,182.389999,180.210007,181.720001,181.021957,32207100
2018-03-13,182.589996,183.500000,179.240005,179.970001,179.278687,31693500
2018-03-14,180.320007,180.520004,177.809998,178.440002,177.754562,29368400
2018-03-15,178.500000,180.240005,178.070007,178.649994,177.963745,22743800
2018-03-16,178.649994,179.119995,177.619995,178.020004,177.336182,39404700
2018-03-19,177.320007,177.470001,173.660004,175.300003,174.626633,33446800
2018-03-20,175.240005,176.800003,174.940002,175.240005,174.566864,19649400
2018-03-21,175.039993,175.089996,171.259995,171.270004,170.612106,37054900
2018-03-22,170.000000,172.679993,168.600006,168.850006,168.201401,41490800
